year,X,total.bio,sp.bio,depletion,age.0,spr,expl.rate,sp.bio.sd,age.0.sd,yrminusone,resids,log.resids,SR_pred,Label,dev,devsd,DDpre,Tpre.a,Tpre.b,MLDegg,LSTegg,CSTegg1,DDegg1,CSTegg2,LSTegg2,DDegg2,LSTlarv,CSTlarv,DDlarv,LSTpjuv,CSTpjuv,DDpjuv,LSTbjuv.a,CSTbjuv.a,LSTbjuv.b,CSTbjuv.b
1981,106,8839,3708,0.11,10725,0.88,0.32,254,2654,1980,-2235.514321,-0.189329911,12960.51432,Main_RecrDev_1981,-0.104075,0.219905,197.158,6.148378378,6.528,38.40911111,-0.023329911,-0.001249366,246.023,0.002222778,-0.00033839,146.088,-0.012218672,0.003998235,388.42,-0.022651867,-0.00261484,214.58,-0.003987667,0.007888117,0.024307357,-0.002834137
1982,107,8338,3548,0.11,9550,0.88,0.35,245,2429,1981,-3249.407873,-0.292857755,12799.40787,Main_RecrDev_1982,-0.211026,0.226645,194.302,5.944973684,6.293368421,36.60622222,-0.010499044,0.000476424,223.534,0.007840573,0.000419911,136.608,-0.027242726,0.00220708,317.768,-0.002445077,-0.0033213,174.07,-0.003595623,0.008449484,0.015545774,-0.001509075
1983,108,7822,3315,0.1,11520,0.9,0.34,237,2719,1982,-1183.677184,-0.097806838,12703.67718,Main_RecrDev_1983,-0.00877954,0.206137,205.441,6.723657895,7.204421053,41.24488889,0.072805556,-0.003487927,278.716,0.016751489,-0.001686707,174.172,-0.010395151,0.011425,349.9,-0.023470355,-0.002112822,217.06,0.000726872,0.004861713,0.011259177,-0.001465542
1984,109,7389,3150,0.09,17745,0.87,0.28,225,3433,1983,5194.228581,0.346321655,12550.77142,Main_RecrDev_1984,0.434856,0.162279,247.251,5.877842105,6.308473684,39.09673913,-0.046201804,0.00106043,247.371,-0.016369104,0.0008786,139.404,-0.029408,0.004510896,342.473,-0.020616133,0.000508371,189.633,-0.003567213,0.007325661,0.010573019,-0.000541313
1985,110,7427,3188,0.1,11349,0.88,0.28,209,2663,1984,-1082.423091,-0.091097753,12431.42309,Main_RecrDev_1985,-0.0148779,0.207389,208.835,5.949763158,6.272315789,38.82311111,-0.036936769,0.002003658,210.303,0.00493794,0.000310825,132.424,-0.044683435,-0.002293235,299.606,-0.0447005,-0.002485428,168.018,-0.015441658,0.012245132,0.003334497,0.000475466
1986,111,7530,3218,0.1,6509,0.89,0.32,190,1740,1985,-5950.79717,-0.6493214,12459.79717,Main_RecrDev_1986,-0.572969,0.239644,219.824,6.090973684,6.500184211,36.87155556,-0.002468933,-0.000340554,219.589,-0.013731842,0.00038788,143.595,-0.011176071,0.004145103,299.875,0.006903797,-0.002380874,189.851,-0.014647623,0.012496,0.001798998,0.000629057
1987,112,7423,3051,0.09,8446,0.92,0.37,170,2157,1986,-4035.813289,-0.390579691,12481.81329,Main_RecrDev_1987,-0.300122,0.228099,212.843,6.325263158,6.732815789,33.84804348,0.002361391,-0.000776902,243.574,-0.003223541,1.13E-05,157.155,-0.018960533,0.003506178,338.54,-0.000271097,-0.004898545,196.073,-0.011570757,0.01065346,0.003016291,0.000112661
1988,113,6788,2669,0.08,13087,0.92,0.37,154,3077,1987,732.1674883,0.057572088,12354.83251,Main_RecrDev_1988,0.171062,0.207858,225.357,6.117131579,6.559394737,36.71155556,-0.000535867,-0.000346842,234.497,-0.000192847,0.000443569,147.495,-0.016789981,0.003153993,311.341,-0.0040038,-0.003059327,176.426,-0.007397513,0.008463553,0.008931575,-0.000444802
1989,114,6236,2484,0.07,16134,0.92,0.4,144,3620,1988,4116.349371,0.294552392,12017.65063,Main_RecrDev_1989,0.399672,0.193988,202.201,6.029052632,6.355868421,38.02777778,0.0061194,-0.000277224,208.292,0.008954911,-4.30E-05,137.706,0.016295222,-0.002280069,284.292,0.043507742,-0.005285087,175.394,0.003857585,0.005372732,0.012938208,-0.001796
1990,115,5695,2343,0.07,15129,0.92,0.39,137,3623,1989,3303.327693,0.246340644,11825.67231,Main_RecrDev_1990,0.351817,0.210513,212.006,6.311526316,6.668105263,37.25717391,0.031340978,-0.001533146,228.913,0.018059696,-0.001309209,156.569,0.014169618,-3.33E-05,300.929,0.017309774,-0.003532623,173.866,-0.003253848,0.006724272,0.006143778,-0.000590325
1991,116,5525,2190,0.07,10122,0.93,0.45,131,2538,1990,-1541.901509,-0.141787458,11663.90151,Main_RecrDev_1991,-0.0302373,0.22331,228.108,6.026891892,6.393837838,36.71133333,0.022031222,-0.000411604,206.952,0.002456978,-0.000227176,138.163,0.002442909,-0.003110793,287.861,0.000399133,-0.007822,157.945,-0.004357828,0.00825462,0.00477808,9.84E-05
1992,117,5295,1803,0.05,5219,0.93,0.4,125,1476,1991,-6251.772833,-0.787496495,11470.77283,Main_RecrDev_1992,-0.629889,0.26083,209.228,6.571684211,7.000605263,31.04177778,0.067750624,-0.003134877,245.561,0.011854638,-0.001646469,167.844,0.002958535,0.008281852,334.79,-0.037527742,-0.001186677,219.048,-0.000601018,0.005778701,0.003913113,-0.000273605
1993,118,5376,1667,0.05,9937,0.9,0.33,126,2148,1992,-941.6988596,-0.09054148,10878.69886,Main_RecrDev_1993,0.0415469,0.19669,246.885,6.112289474,6.580842105,39.55456522,0.030766761,3.28E-05,245.819,-0.010940109,0.000465207,152.642,0.036179236,0.015758378,323.562,-0.012252135,0.010812968,191.615,0.004972857,0.003586666,0.011814611,-0.00157643
1994,119,5722,1817,0.05,12252,0.88,0.28,135,2498,1993,1626.504203,0.142432812,10625.4958,Main_RecrDev_1994,0.220679,0.175841,230.123,6.280027027,6.685081081,41.12822222,0.0570994,-0.000990953,239.242,0.026045167,-0.00141909,151.662,0.017523957,0.009570761,322.244,-0.008293007,0.002646463,187.598,0.006356516,0.004329617,0.016973973,-0.002236285
1995,120,6189,2281,0.07,7614,0.86,0.29,146,1826,1994,-3289.23719,-0.359071077,10903.23719,Main_RecrDev_1995,-0.327105,0.207159,221.323,6.433789474,6.915289474,45.38977778,0.069273516,-0.002651624,251.988,0.004694933,-0.001363737,162.635,0.037709109,0.020146587,313.32,-0.036944367,0.00705451,174.389,-0.002030419,0.005471648,0.011202679,-0.001788574
1996,121,6531,2695,0.08,9207,0.87,0.31,154,1883,1995,-2380.994574,-0.230005547,11587.99457,Main_RecrDev_1996,-0.183112,0.161987,220.372,6.068342105,6.475921053,38.08108696,0.024035935,-0.002149119,250.127,-0.000834413,-0.000730166,146.663,0.045105494,0.017357133,360.23,-0.001710129,0.003019848,197.498,0.007524987,0.003417761,0.014474024,-0.001990517
1997,122,6611,2795,0.08,8661,0.87,0.32,154,1830,1996,-3381.97593,-0.32965139,12042.97593,Main_RecrDev_1997,-0.253618,0.165113,220.845,6.204945946,6.579162162,37.072,0.021699311,-0.001185638,230.397,0.016183256,-0.001346891,146.183,0.030937861,0.010977393,318.592,0.0069378,0.004052843,191.834,0.007510685,0.002426294,0.019232994,-0.003718948
1998,123,6548,2676,0.08,20417,0.85,0.28,152,3167,1997,8280.08707,0.520116423,12136.91293,Main_RecrDev_1998,0.615072,0.0889137,255.921,6.509552632,7.129210526,55.73977778,0.041468178,-0.00177778,303.633,0.000753244,-0.000917246,176.569,0.013724043,0.017772938,376.39,-0.0670187,0.00323505,207.37,0.005375642,0.003768162,0.016914204,-0.002339189
1999,124,6795,2761,0.08,13899,0.83,0.25,153,2333,1998,1874.49314,0.14487009,12024.50686,Main_RecrDev_1999,0.222551,0.105385,235.548,5.865342105,6.240921053,46.28022222,-0.000605556,-0.001524069,216.413,-0.006039833,3.25E-05,132.188,0.0186052,0.012899006,293.095,0.011021903,0.004797581,167.059,0.007085057,0.00402864,0.017928432,-0.002082241
2000,125,7341,2971,0.09,9865,0.85,0.29,154,1707,1999,-2240.575772,-0.204673015,12105.57577,Main_RecrDev_2000,-0.138495,0.110127,198.457,6.099894737,6.493,44.87086957,0.012910913,-0.000308766,236.222,0.002619413,-0.000369045,146.174,0.030795109,0.010251798,324.154,0.002092433,0.000796475,175.238,0.007064926,0.003241043,0.01818963,-0.002553724
2001,126,7842,3014,0.09,8380,0.85,0.27,153,1457,2000,-3909.958966,-0.38293467,12289.95897,Main_RecrDev_2001,-0.305056,0.108489,211.698,6.130947368,6.476631579,37.06844444,0.026318713,-0.000699204,212.9,0.012184458,-0.000835068,140.432,0.017252489,0.004252883,291.57,0.002305887,0.00020023,160.256,0.005332019,0.004626296,0.02099666,-0.003166183
2002,127,8400,3058,0.09,9431,0.85,0.26,155,1593,2001,-2894.171817,-0.267641525,12325.17182,Main_RecrDev_2002,-0.190402,0.0958314,179.297,5.733657895,6.067184211,40.86755556,0.041823213,-0.000759046,204.601,0.024330022,-0.001524744,125.915,0.008647444,0.00177294,293.142,-0.034718032,-0.003008274,169.392,0.028644353,-0.00188004,0.043617321,-0.005658972
2003,128,8869,3323,0.1,7919,0.81,0.21,168,1439,2002,-4441.379053,-0.445231184,12360.37905,Main_RecrDev_2003,-0.384111,0.108677,189.515,6.065736842,6.473342105,44.15608696,0.014032326,-0.001453999,249.615,0.007551341,-0.000995941,144.429,0.016181429,0.017788224,354.24,-0.027031861,0.0042291,198.134,0.016883611,0.000706956,0.024929339,-0.003482739
2004,129,9500,3962,0.12,9381,0.83,0.25,189,1700,2003,-3175.311854,-0.291537109,12556.31185,Main_RecrDev_2004,-0.251045,0.0995822,196.725,5.846736842,6.227184211,42.50044444,0.015729556,-0.00040332,233.528,0.008797822,-0.000530411,133.187,0.016710152,0.00979337,334.205,-0.0124868,0.001572103,196.834,0.00976321,0.002631113,0.017505164,-0.002429665
2005,130,9554,4350,0.13,10118,0.86,0.32,201,1917,2004,-2820.01071,-0.24585353,12938.01071,Main_RecrDev_2005,-0.192739,0.106724,218.505,6.185815789,6.622289474,41.87555556,0.063679722,-0.001799971,248.372,0.0179546,-0.001317876,151.001,0.018003891,0.008016084,327.299,-0.000230839,0.006009739,203.486,0.005282755,0.003206207,0.013278604,-0.001895119
2006,131,8785,4129,0.12,18473,0.82,0.26,205,3334,2005,5349.949332,0.34193993,13123.05067,Main_RecrDev_2006,0.418782,0.0867882,231.307,5.712131579,6.151921053,48.07695652,-0.001447739,-0.000807617,243.692,-0.015701409,-4.65E-05,135.294,0.034527644,0.013769876,336.348,0.015985484,0.000179777,201.792,0.005173993,0.004115365,0.0172357,-0.001933398
2007,132,8653,4050,0.12,22002,0.83,0.29,210,4015,2006,8980.733767,0.524549473,13021.26623,Main_RecrDev_2007,0.597199,0.0916705,214.255,6.178432432,6.581351351,45.06511111,0.017638378,2.22E-07,233.087,0.020365822,-0.001463829,145.231,0.006615587,0.007165515,300.129,-0.0127622,0.00089056,174.401,0.022208715,-0.001215633,0.030324676,-0.004446133
2008,133,8541,3744,0.11,29151,0.83,0.28,218,5220,2007,16168.39516,0.808878845,12982.60484,Main_RecrDev_2008,0.893903,0.0907999,210.412,5.851263158,6.219236842,47.06088889,0.019084516,0.000724359,208.502,0.00981462,-9.98E-05,129.162,0.008220109,0.004044026,270.312,-0.018950187,-0.000216845,160.999,0.031182308,-0.002522943,0.047165717,-0.005375694
2009,134,9056,3546,0.11,12881,0.85,0.28,240,2752,2008,60.99340466,0.004746391,12820.0066,Main_RecrDev_2009,0.0883912,0.149953,173.22,6.028473684,6.379736842,43.08934783,0.036068348,-0.000709863,217.258,0.028330665,-0.001168532,137.959,0.014459644,-0.003200462,290.868,0.012248161,-0.006765465,168.263,0.017396759,0.000702993,0.02755915,-0.003498036
2010,135,9995,3388,0.1,9733,0.67,0.1,283,2327,2009,-2969.435362,-0.266271562,12702.43536,Main_RecrDev_2010,-0.182077,0.185689,193.441,5.881162162,6.311027027,50.47044444,0.0093982,-0.001999698,240.01,0.001829867,-0.001593782,137.108,0.039270541,0.019279543,317.387,-0.020074537,0.0044069,177.627,0.032762578,-0.003111048,0.042121278,-0.00496013
