RESID,year,Prey_hake,Prey_long,DD_pre,MnTemp_sp,DD_sp,MLD_egg.mn,MLD_egg.sd,CST_egg,DD_egg,CST_ed,LST_ed,DD_ed,LST_larv,CST_larv,DD_larv,LST_pjuv,CST_pjuv,DD_pjuv,LST_bjuv,CST_bjuv,Pred_bjuv,FWI_bjuv,DD_bjuv,July_Mean_SSH
8101.84182,1981,16558,253856,159.422,5.899133333,79.785,51.494,6.146186146,0.0067589,107.583,-0.02234586,-0.1141971,-21.958,-1.388598,0.335166,256.99,-4.946548,-0.770214,658.76,0.5800864,-0.0409833,1.497358687,16064700,118.979,-0.03
-2491.128844,1982,274,183459,155.819,5.637935484,73.581,48.04333333,6.953655121,-0.02216895,100.111,-0.0368958,-0.1524422,-22.758,-1.619123,0.0066783,200.485,-3.168907,-1.108155,611.441,0.637748556,-0.0503629,1.304292643,17257500,139.678,0
-10110.64477,1983,251,131160,180.315,6.3262,94.735,43.312,4.899488643,0.02701978,106.393,0.00309035,-0.2824512,-21.212,0.3749584,0.86247,231.77,-2.8933856,-0.4021542,665.44,0.3607764,0.00225809,1.092985982,16951000,137.2,0.049
810.2873049,1984,393,125812,184.296,5.582866667,70.272,52.04233333,5.794429955,0.001235897,107.502,0.00013242,0.0777549,-23.215,-1.5017749,0.8023428,224.051,-4.34433,-0.358513,628.7,0.213457,0.03631214,1.068911621,16172200,120.421,0.027
11727.63268,1985,12740,137379,159.617,5.71416129,75.292,55.11166667,8.110746419,0.025505612,99.829,0.01489693,0.05480029,-22.173,-1.991704,0.0882395,192.171,-4.3111826,-1.6173405,584.186,-0.3186096,0.256166,1.040870377,14931900,125.825,0.009
7635.71001,1986,206,104401,168.065,5.8191,78.051,42.155,12.48015715,0.115716,99.347,0.03776536,0.0265166,-21.175,-0.508779,0.600077,214.615,-3.6848,-1.250965,598.35,-0.090745,0.170841,0.910250693,15598500,134.933,-0.021
-502.7662544,1987,210,99695,175.444,6.031166667,84.66,42.41933333,6.767092756,0.0823779,103.371,0.02714886,-0.273751,-20.845,-1.233134,0.3106163,225.61,-3.97793,-1.7298747,613.04,0.112184,0.0890459,0.782366779,13841200,137.628,-0.015
-1101.186234,1988,5454,136067,181.394,5.772516129,79.24,45.12366667,7.209580543,0.118944,98.938,0.02629723,-0.1192206,-21.932,-1.7054566,0.4907082,205.327,-4.190944,-0.914512,584.065,0.1840116,0.051575991,0.637059671,14022200,116.954,-0.021
5209.419822,1989,1912,149910,153.812,5.784733333,74.851,45.435,10.84709837,0.0767037,88.63,0.02174123,-0.02765366,-22.125,-0.3724328,0.2109004,192.344,-2.6061506,-1.6839086,626.528,0.72980634,-0.1044299,0.472034052,13887900,129.432,-0.043
11083.2652,1990,182,121979,173.284,6.039133333,83.123,40.66633333,12.76893955,0.03253325,96.578,0.03052441,-0.0182114,-21.018,-0.7314525,0.12668,196.011,-2.944025,-1.116745,644.008,0.1905382,0.03552348,0.177610642,16207900,114.978,0.049
-6001.909326,1991,4453,85500,162.3,5.7844,76.075,41.28,8.228100296,0.03309523,90.774,0.023547858,-0.0228418,-22.165,-1.154607,0.0888153,189.235,-3.5582516,-1.8508743,592.038,0.43392064,-0.0183148,-0.224193618,16785700,127.841,0.009
-5766.900169,1992,563,89848,165.313,6.253645161,95.228,36.77566667,4.213938025,0.12791506,100.711,0.069839,-0.268431,-21.286,-0.193784,0.33173716,252.28,-3.701456,-1.42856484,675.43,0.467347,-0.0664232,-0.518342744,12592800,134.223,0.064
-9014.718781,1993,192,130450,178.578,5.8126,78.869,41.83833333,8.953093506,-0.001435,93.332,-0.00886239,0.03484,-22.418,0.8261068,1.3044272,214.827,-2.735061,-0.5518958,637.61,0.683034,-0.0858593,-0.685887229,13515000,132.101,-0.018
-1543.383812,1994,3355,136737,172.367,5.966266667,82.122,47.717,8.020204293,0.104653,89.415,0.0562542,-0.0379156,-22.472,-0.845966,0.443743,229.14,-4.127572,-0.750392,656.89,0.918011,-0.17132623,-0.76892906,11269800,126.575,0.011
6812.895541,1995,2748,153347,165.58,6.132612903,92.735,39.20433333,3.776059507,0.167578,94.088,0.113811,-0.194819,-21.71,0.2706589,0.454801,221.62,-2.9839846,-0.891007,674.25,0.616095,-0.1140248,-0.931671818,16274900,129.369,0.039
-12491.89337,1996,1309,146754,166.73,5.711066667,74.693,40.53096774,4.894775007,0.04113404,91.64,0.058024,0.0203632,-21.852,0.147716,0.8964278,229.5,-3.8266574,-0.424785,636.28,0.733722,-0.1089473,-1.220017575,17391000,132.03,0.014
-11971.08314,1997,1648,133141,175.268,5.8769,79.037,40.53966667,4.955050703,0.15733,90.047,0.105746,-0.160674,-19.898,-0.594013,0.75481,230.301,-1.9527447,0.6368573,709.61,0.91972484,-0.1606896,-1.347859112,20172000,156.718,0.015
-7664.063913,1998,1127,156349,203.758,6.027935484,91.161,54.41433333,5.951550759,0.147838,109.405,0.0059599,-0.2032652,-21.466,-0.479818,0.520879,240.29,-4.6147101,-0.6881,647.34,0.80508,-0.120588,-1.365396626,14832000,124.343,-0.025
18987.4864,1999,1848,162173,167.756,5.574266667,69.665,50.449,6.085033278,0.1233825,90.756,0.0370243,0.07881415,-21.864,-0.425769,0.902205,185.914,-3.147469,-1.050787,585.572,0.96050969,-0.169599,-1.3147249,19084600,125.866,-0.039
11383.29411,2000,11449,160700,167.035,5.789766667,76.266,48.73566667,6.787908968,0.150842,87.235,0.0499895,-0.0576937,-21.232,-0.2438326,0.586758,218.644,-3.6911706,-1.126918,612.1,0.653628,-0.0737996,-1.397325148,15110900,127.434,-0.033
2390.703113,2001,335,173860,169.579,5.85416129,80.419,45.31866667,5.955490503,0.158174,85.606,0.0740153,0.03318266,-19.855,-1.0263196,-0.230227,196.797,-4.009272,-0.88735909,591.442,1.208462,-0.223312,-1.346934593,11499900,110.584,-0.046
-7231.440431,2002,900,196411,147.726,5.409266667,63.854,54.05566667,6.634003671,0.0348373,79.975,0.021728752,-0.038396469,-20.973,-1.3997289,-0.1305142,187.627,-4.3465179,-1.3455032,594.385,1.506253,-0.250254,-1.081352988,14868863.13,125.983,-0.032
-11266.49455,2003,73,110856,163.91,5.698633333,74.525,50.77333333,6.041027735,0.168275,87.016,0.0899797,-0.2502327,-21.329,-0.9293665,0.505287,229.01,-3.8740605,-0.897474,656.9,1.0625389,-0.18899815,-0.595156713,13935466.78,116.759,-0.045
-8248.244474,2004,1445,256257,156.007,5.589548387,72.662,50.97966667,3.866161318,0.120769,86.825,0.092397,-0.1160424,-20.717,-0.910084,0.159017,234.27,-4.10695,-0.958363,680.21,0.5859713,-0.0379488,-0.833430533,14593153.93,120.708,0.006
-13630.15717,2005,73,93155,161.155,5.889433333,80.773,50.28666667,5.597617925,0.0859118,89.092,0.0581965,-0.1020394,-22.002,-0.2465488,0.374297,232.4,-3.604051,-0.42986708,627.91,0.57572559,-0.10516825,-0.804256203,14159151.54,126.481,0.007
-12426.88745,2006,2465,117956,168.429,5.403066667,66.091,54.81733333,8.638153512,0.120637,88.106,0.07336,0.034728,-22.43,-0.217199,0.316532,211.412,-3.377017,-1.178273,603.147,0.827502,-0.1363215,-0.502567932,12181579.58,126.3,0.004
-12869.03577,2007,1853,101145,172.139,5.870333333,79.112,52.922,9.985671252,0.149562,89.243,0.103199,-0.1686152,-22.446,-1.303933,0.508391,201.365,-4.050738,-0.4924763,620.839,0.897749,-0.1187268,-0.623296999,13406590.22,119.127,-0.01
13983.40376,2008,48,65197,159.479,5.583612903,72.626,56.46333333,4.489961472,0.1186155,80.376,0.089671,-0.00371702,-22.658,-1.3468466,0.101152,171.409,-3.827553,-0.9373457,560.699,1.525568,-0.252596,-0.460629923,13356130.87,113.302,0.03
-12248.41403,2009,5987,72369,149.619,5.7666,75.095,56.23233333,6.852326403,0.03801294,78.085,0.058307,-0.0157278,-23.014,-0.99684,-0.0507616,177.054,-3.557495,-0.8297776,604.541,0.6750402,-0.0927904,-0.110526606,12861325.16,108.537,-0.016
2424.838961,2010,1289,67170,150.871,5.599866667,71.808,46.046,4.950697339,0.139413,85.684,0.077396,-0.1192832,-22.606,-0.210448,0.892835,209.65,-3.8327792,-0.739759,575.59,1.512772698,-0.2498091,0.278470441,13532838.25,111.448,-0.054
